"title","category","location","description","keywords","start_date","start_time","end_date","end_time","alarm","recur_type","recur_end_date","recur_interval","recur_data"
"WH-Prüfung","StundenplanTW","EDV_A2.06","Stundenplan
WH-Prüfung
bachinge
if-3
EDV_A2.06","Stundenplan","09.09.2019","17:50:00","09.09.2019","19:20:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_A2.06","Stundenplan
WH-Prüfung
bachinge
if-3
EDV_A2.06","Stundenplan","09.09.2019","18:35:00","09.09.2019","19:20:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_F1.02","Stundenplan
WH-Prüfung
richter
if-3
EDV_F1.02","Stundenplan","09.09.2019","18:35:00","09.09.2019","19:20:00",,,,,
"WH-Prüfung","StundenplanTW","HS_A1.05","Stundenplan
WH-Prüfung
felleitn
if-3
HS_A1.05","Stundenplan","10.09.2019","16:10:00","10.09.2019","17:40:00",,,,,
"komm.Prüf.","StundenplanTW","UEB_A1.06","Stundenplan
komm.Prüf.
salzbrunn
if-3C
UEB_A1.06","Stundenplan","12.09.2019","09:40:00","12.09.2019","11:10:00",,,,,
"komm.Prüf.","StundenplanTW","UEB_A1.06","Stundenplan
komm.Prüf.
salzbrunn
if-3C
UEB_A1.06","Stundenplan","12.09.2019","10:25:00","12.09.2019","11:10:00",,,,,
"komm.Prüf.","StundenplanTW","UEB_A1.06","Stundenplan
komm.Prüf.
schweiger
if-3C
UEB_A1.06","Stundenplan","12.09.2019","10:25:00","12.09.2019","11:10:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04A","Stundenplan
Mathe2
kuba
if-3
HS_A1.04A","Stundenplan","12.09.2019","17:50:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04B","Stundenplan
Mathe2
porchet
if-3
HS_A1.04B","Stundenplan","12.09.2019","17:50:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04A","Stundenplan
Mathe2
simeonov
if-3
HS_A1.04A","Stundenplan","12.09.2019","17:50:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04A","Stundenplan
Mathe2
kuba
if-3
HS_A1.04A","Stundenplan","12.09.2019","18:35:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04B","Stundenplan
Mathe2
kuba
if-3
HS_A1.04B","Stundenplan","12.09.2019","18:35:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04B","Stundenplan
Mathe2
porchet
if-3
HS_A1.04B","Stundenplan","12.09.2019","18:35:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04A","Stundenplan
Mathe2
porchet
if-3
HS_A1.04A","Stundenplan","12.09.2019","18:35:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04A","Stundenplan
Mathe2
simeonov
if-3
HS_A1.04A","Stundenplan","12.09.2019","18:35:00","12.09.2019","19:20:00",,,,,
"Mathe2","StundenplanTW","HS_A1.04B","Stundenplan
Mathe2
simeonov
if-3
HS_A1.04B","Stundenplan","12.09.2019","18:35:00","12.09.2019","19:20:00",,,,,
"AI-VO","StundenplanTW","HS_A1.05","Stundenplan
AI
RedlChr
BIF-3C 
HS_A1.05","Stundenplan","16.09.2019","09:40:00","16.09.2019","11:10:00",,,,,
"SWE-VO","StundenplanTW","HS_A1.04A","Stundenplan
SWE
ZaczekAr
BIF-3C 
HS_A1.04A","Stundenplan","16.09.2019","11:20:00","16.09.2019","12:50:00",,,,,
"AIT-SE","StundenplanTW","SEM_F5.03","Stundenplan
AIT
SawczyNi
BIF-3C1
SEM_F5.03","Stundenplan","16.09.2019","13:35:00","16.09.2019","17:40:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_F2.02","Stundenplan
WH-Prüfung
pfeiffer
if-3C
EDV_F2.02","Stundenplan","17.09.2019","17:50:00","17.09.2019","19:20:00",,,,,
"DBS-VO","StundenplanTW","HS_F2.03","Stundenplan
DBS
DocsekMa
BIF-3C 
HS_F2.03","Stundenplan","18.09.2019","11:20:00","18.09.2019","12:50:00",,,,,
"WP DMDB","StundenplanTW","EDV_F1.02","Stundenplan
WP DMDB
docsekm
if-3
EDV_F1.02","Stundenplan","18.09.2019","14:30:00","18.09.2019","16:00:00",,,,,
"PJM2-VO","StundenplanTW","HS_F0.02","Stundenplan
PJM2
SchweiSv
BIF-3C 
HS_F0.02","Stundenplan","19.09.2019","12:50:00","19.09.2019","14:20:00",,,,,
"VSYS-VO","StundenplanTW","HS_F2.03","Stundenplan
VSYS
NimmerAl
BIF-3C 
HS_F2.03","Stundenplan","19.09.2019","16:10:00","19.09.2019","17:40:00",,,,,
"MAT-VO","StundenplanTW","HS_F0.02","Stundenplan
MAT
SimeonEm
BIF-3C 
HS_F0.02","Stundenplan","20.09.2019","09:40:00","20.09.2019","11:10:00",,,,,
"ETS-SE","StundenplanTW","HS_F4.01","Stundenplan
ETS
Van DaMa
BIF-3C1
HS_F4.01","Stundenplan","23.09.2019","11:20:00","23.09.2019","12:50:00",,,,,
"INN1-ILV","StundenplanTW","HS_A1.05","Stundenplan
INN1
EckkraFl / WahlHa
BIF-3C 
HS_A1.05","Stundenplan","23.09.2019","12:50:00","23.09.2019","14:20:00",,,,,
"SWE-UE","StundenplanTW","EDV_A2.06","Stundenplan
SWE
PetzMa / WallisBe
BIF-3C 
EDV_A2.06","Stundenplan","23.09.2019","16:10:00","23.09.2019","17:40:00",,,,,
"VSYS-UE","StundenplanTW","EDV_F4.24","Stundenplan
VSYS
PfeiffRe / RongitTh
BIF-3C 
EDV_F4.24","Stundenplan","24.09.2019","09:40:00","24.09.2019","11:10:00",,,,,
"MAT-VO","StundenplanTW","HS_A1.04A","Stundenplan
MAT
SimeonEm
BIF-3C 
HS_A1.04A","Stundenplan","24.09.2019","11:20:00","24.09.2019","12:50:00",,,,,
"MOSY-UE","StundenplanTW","HS_A3.14","Stundenplan
MOSY
WallerDa
BIF-3C 
HS_A3.14","Stundenplan","24.09.2019","12:50:00","24.09.2019","14:20:00",,,,,
"DBS-UE","StundenplanTW","EDV_A6.08","Stundenplan
DBS
DocsekMa / WottawFr
BIF-3C 
EDV_A6.08","Stundenplan","24.09.2019","16:10:00","24.09.2019","17:40:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_A2.06","Stundenplan
WH-Prüfung
gholweg
if-3C
EDV_A2.06","Stundenplan","25.09.2019","11:20:00","25.09.2019","12:50:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_A2.06","Stundenplan
WH-Prüfung
gholweg
if-3C
EDV_A2.06","Stundenplan","25.09.2019","12:05:00","25.09.2019","12:50:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_A2.06","Stundenplan
WH-Prüfung
pohn
if-3C
EDV_A2.06","Stundenplan","25.09.2019","12:05:00","25.09.2019","12:50:00",,,,,
"AI-UE","StundenplanTW","EDV_F1.02","Stundenplan
AI
RedlChr / SpielvCl
BIF-3C 
EDV_F1.02","Stundenplan","25.09.2019","15:15:00","25.09.2019","16:55:00",,,,,
"DAS-VO","StundenplanTW","HS_A1.04A","Stundenplan
DAS
MenseAl
BIF-3C 
HS_A1.04A","Stundenplan","26.09.2019","08:00:00","26.09.2019","09:30:00",,,,,
"SWE-UE","StundenplanTW","EDV_A6.09","Stundenplan
SWE
HofmanAl / ZaczekAr
BIF-3C 
EDV_A6.09","Stundenplan","26.09.2019","09:40:00","26.09.2019","11:10:00",,,,,
"DAS-UE","StundenplanTW","EDV_F4.25","Stundenplan
DAS
MenseAl
BIF-3C 
EDV_F4.25","Stundenplan","26.09.2019","11:20:00","26.09.2019","12:50:00",,,,,
"PJM2-UE","StundenplanTW","UEB_A1.06","Stundenplan
PJM2
SchweiSv
BIF-3C 
UEB_A1.06","Stundenplan","26.09.2019","14:30:00","26.09.2019","16:00:00",,,,,
"MAT-VO","StundenplanTW","HS_A1.04A","Stundenplan
MAT
SimeonEm
BIF-3C 
HS_A1.04A","Stundenplan","27.09.2019","09:40:00","27.09.2019","11:10:00",,,,,
"AIT-SE","StundenplanTW","SEM_F5.10","Stundenplan
AIT
SawczyNi
BIF-3C1
SEM_F5.10","Stundenplan","30.09.2019","08:00:00","30.09.2019","12:05:00",,,,,
"ETS-SE","StundenplanTW","HS_F4.02","Stundenplan
ETS
Van DaMa
BIF-3C1
HS_F4.02","Stundenplan","30.09.2019","12:50:00","30.09.2019","14:20:00",,,,,
"MAT-VO","StundenplanTW","HS_A1.04A","Stundenplan
MAT
SimeonEm
BIF-3C 
HS_A1.04A","Stundenplan","30.09.2019","14:30:00","30.09.2019","16:00:00",,,,,
"WH-Prüfung","StundenplanTW","HS_A3.14","Stundenplan
WH-Prüfung
nimm
if-3C
HS_A3.14","Stundenplan","02.10.2019","08:45:00","02.10.2019","10:25:00",,,,,
"DBS-VO","StundenplanTW","HS_F2.03","Stundenplan
DBS
DocsekMa
BIF-3C 
HS_F2.03","Stundenplan","02.10.2019","12:05:00","02.10.2019","13:35:00",,,,,
"MOSY-VO","StundenplanTW","HS_F0.02","Stundenplan
MOSY
WallerDa
BIF-3C 
HS_F0.02","Stundenplan","02.10.2019","13:35:00","02.10.2019","15:15:00",,,,,
"AI-VO","StundenplanTW","HS_F2.03","Stundenplan
AI
RedlChr
BIF-3C 
HS_F2.03","Stundenplan","02.10.2019","15:15:00","02.10.2019","16:55:00",,,,,
"VSYS-VO","StundenplanTW","HS_A1.04A","Stundenplan
VSYS
NimmerAl
BIF-3C 
HS_A1.04A","Stundenplan","03.10.2019","11:20:00","03.10.2019","12:50:00",,,,,
"DAS-VO","StundenplanTW","HS_A1.05","Stundenplan
DAS
MenseAl
BIF-3C 
HS_A1.05","Stundenplan","03.10.2019","12:50:00","03.10.2019","14:20:00",,,,,
"SWE-UE","StundenplanTW","EDV_A2.06","Stundenplan
SWE
PetzMa / WallisBe
BIF-3C 
EDV_A2.06","Stundenplan","03.10.2019","14:30:00","03.10.2019","16:00:00",,,,,
"WH-Prüfung","StundenplanTW","HS_F2.01","Stundenplan
WH-Prüfung
simeonov
if-3
HS_F2.01","Stundenplan","03.10.2019","18:35:00","03.10.2019","20:15:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_F2.02","Stundenplan
WH-Prüfung
kalteneg
if-3C
EDV_F2.02","Stundenplan","04.10.2019","12:50:00","04.10.2019","15:15:00",,,,,
"DBS-UE","StundenplanTW","EDV_A2.07","Stundenplan
DBS
DocsekMa / WottawFr
BIF-3C 
EDV_A2.07","Stundenplan","07.10.2019","11:20:00","07.10.2019","12:50:00",,,,,
"WH-Prüfung","StundenplanTW","EDV_A6.08","Stundenplan
WH-Prüfung
trabesin
if-3C
EDV_A6.08","Stundenplan","07.10.2019","13:35:00","07.10.2019","14:20:00",,,,,
"ETS-SE","StundenplanTW","HS_F4.01","Stundenplan
ETS
Van DaMa
BIF-3C1
HS_F4.01","Stundenplan","07.10.2019","14:30:00","07.10.2019","16:00:00",,,,,
"MAT-UE","StundenplanTW","HS_A1.04A","Stundenplan
MAT
PorcheFr
BIF-3C 
HS_A1.04A","Stundenplan","08.10.2019","10:25:00","08.10.2019","12:05:00",,,,,
